gene,mean_abs_shap,mean_shap_R,mean_shap_NR
HOOK2,5.9911463968501385e-06,3.2049003167048922e-06,-9.531659136074024e-06
CCDC122,5.984436051492952e-06,4.80895726928867e-06,9.314959267738425e-06
OR2B6,5.974993246977815e-06,4.271864168846228e-06,1.0800525635017313e-05
LIN7C,5.971410017292169e-06,2.8842283168313786e-06,-7.74297253356463e-06
HIST1H4I,5.969194509069647e-06,-4.587535765065621e-06,-9.224995478086324e-06
RALGPS1,5.968004549003129e-06,5.204114575313444e-06,8.13235947445724e-06
ARFGAP2,5.9671960369462635e-06,1.0160250420475394e-06,-9.207128974255167e-06
DUOX1,5.957329125136365e-06,4.82702745836679e-06,6.154137950018689e-06
GPM6A,5.953278640263751e-06,4.927132316322391e-06,8.860693224764266e-06
FEZ1,5.95277688903412e-06,5.504835371840283e-06,7.221944521083322e-06
NFAT5,5.946119765746235e-06,5.243104978481966e-06,7.937994996328331e-06
FCHSD1,5.938931477338097e-06,-3.5129697932490574e-06,-1.1391796445916235e-05
LRRN2,5.9372970816674465e-06,-3.2639680251216456e-07,-1.2615230085716722e-05
MAGI2,5.933287122628919e-06,-1.9933978236429117e-06,-1.7096306803089268e-05
FAM179B,5.927717651957556e-06,3.957931818129505e-06,1.0551694337588032e-05
FAM160A1,5.9270262788583146e-06,5.603056585398308e-06,6.8449404103283355e-06
OPN1SW,5.924498481707466e-06,5.539502823994945e-06,7.015319511892933e-06
PEX13,5.91602752024341e-06,3.5307232369059216e-06,1.153802358587161e-05
ZNRD1,5.9144078946167125e-06,-1.4219165969375955e-06,-1.4458920890539583e-05
IRS4,5.908371632321663e-06,3.913208414354372e-06,1.1561334083228988e-05
C5orf42,5.905176840924215e-06,-2.9520139106649096e-06,-1.1647310043723805e-05
ZNF691,5.8925257699729746e-06,-3.855963423508658e-06,-9.574192479273776e-06
PTK6,5.881809643713126e-06,5.288296155550236e-06,7.081497401687946e-06
ZSWIM3,5.872273045444149e-06,-7.773203317002101e-07,-1.782497436612583e-05
ABCC13,5.8704738141062425e-06,4.29488237935386e-06,9.873536787481262e-06
ADI1,5.864687778594365e-06,3.017741846186767e-06,8.405388522031914e-06
TPH1,5.849592202716236e-06,5.214078475647778e-06,7.650214429410207e-06
LY75,5.8480698306321636e-06,3.901017587083277e-06,1.100911473324824e-05
TRAF1,5.804454225647006e-06,4.334381144028657e-06,9.969661290232328e-06
DDX52,5.800390308441054e-06,-2.044014819138535e-07,-1.1409298085115699e-05
LMCD1,5.7799914185417146e-06,-4.515492032577166e-06,-9.362739678774595e-06
PARP12,5.778729611553449e-06,-3.4846056638634243e-06,-1.2278747463341854e-05
IFNA21,5.778614711085756e-06,4.68201519779381e-06,-6.540829461318334e-07
GFRA1,5.774197200285847e-06,5.0255003055195846e-06,7.895505068790257e-06
LRRC16A,5.7658947570779665e-06,-4.801809173885196e-06,-8.497470576124154e-06
CSPG4,5.765772359547198e-06,4.563388470104277e-06,9.172526712968814e-06
TK2,5.761262308188664e-06,5.130566515187613e-07,-1.0023843347585228e-05
NEURL2,5.74707408321076e-06,-8.227829971605918e-07,-1.5097080066210987e-05
ZFPM1,5.739297868432734e-06,2.3720759386754407e-08,-1.5516699526862652e-05
INSM1,5.738029105535914e-06,4.986422578980528e-06,7.867580930776175e-06
USP20,5.73701726769388e-06,-2.9734800619378903e-06,-1.1558536874112988e-05
PSMD3,5.733417897702529e-06,5.380068321182239e-06,-9.658922739897635e-07
